,序号,旅行社中文名称,地址,许可证编号,固定电话,传真号码,邮政编码,经度,纬度
28,29,四川恒信国际旅行社有限责任公司,成都市锦江区东门大桥府河名居楼,L-SC-CJ00022,86668388,86271285,610000,30.650089,104.056570
29,30,四川新视窗国际旅行社有限公司,成都市青羊区青龙街51号,L-SC-CJ00105,2882936600,66325899,610000,30.650406,104.085949
30,31,四川省新东方国际旅行社有限责任公司,成都市青羊区锦里中路12号彩虹商务大厦7楼,L-SC-CJ00009,028-66018801,028-66018888,610000,30.663475,104.021112
31,32,成都春秋旅行社有限公司,成都市青羊区金河路59号1栋1单元7层28号,L-SC-CJ00043,028-86157494,86159308,610000,30.660266,104.054481
32,33,成都中港国际旅行社有限公司,成都市青羊区草市街123号1栋8楼5号,L-SC-CJ00069,028-86927722,86927399,610000,30.671723,104.076009
33,34,四川太平洋国际旅行社有限公司,成都市青羊区玉沙路123号建业大厦9楼9-11号,L-SC-CJ00063,86755810,86753933,610000,30.665935,104.084022
34,35,中青旅(四川)国际会议展览有限公司,成都市高新区益州大道北段777号1栋2单元18楼1801号,L-SC-CJ00087,028-63168666,63168777,610000,30.574932,104.067098
35,36,四川百事通国际旅行社有限公司,成都市青羊区人民中路二段29号1栋13层1号09单元,L-SC-CJ00024,028-86613108,86617938,610000,30.668358,104.065852
36,37,成都金桥国际旅行社有限责任公司,成都市锦江区走马街68号锦城大厦7楼,L-SC-CJ00058,028-68699807,028-86655037,610000,30.652775,104.075667
37,38,四川省自在国际旅行社有限责任公司,成都市锦江区总府路31号2栋6楼1间,L-SC-CJ00089,85513420,028-85513470,610000,30.659357,104.077661
38,39,四川和平国际旅行社有限公司,成都市锦江区一环路东五段87号2幢23层2310.2311.2312号,L-SC-CJ00015,028-81454056,61993633,610000,30.653088,104.066802
39,40,成都凯撒世嘉国际旅行社有限公司,成都市锦江区新光华街7号航天科技大厦703B号,L-SC-CJ00078,65971085,65971087,610000,30.648404,104.067261
40,41,四川新界国际旅行社有限公司,四川省成都市锦江区人民东路6号四川航空广场1栋7层01、06A号,L-SC-CJ00088,028-85326228,,610000,30.411034,103.814445
41,42,四川岷山国际旅行社有限责任公司,四川省成都市锦江区人民南路二段５５号,L-SC-CJ00039,2885512551,028-85575683,610000,30.658810,104.070240
42,43,四川川旅旅行社有限公司,四川省成都市锦江区人民南路二段18号川信大厦21楼1-2号,L-SC-CJ00049,028-86199393,028-85589955,610000,30.617772,104.111932
43,44,港中旅国际成都旅行社有限公司,成都市锦江区静渝路48号1栋30楼3019号,L-SC-CJ00007,028-65178100,028-65178105,610000,30.651920,104.065424
44,45,成都海游假期国际旅行社有限公司,成都市锦江区通宝街99号6幢2单元27层11号、12号,L-SC-CJ00117,028-62525509,028-85272704,610000,30.541293,104.064463
45,46,成都携程国际旅行社有限公司,成都高新区天府四街189号携程信息技术大楼A座,L-SC-CJ00020,028-65338899,86728756,610000,30.635142,104.107822
46,47,成都翡翠国际旅行社有限公司,成都市锦江区东大街紫东楼段11号1-1幢23层13号,L-SC-CJ100019,18683253377,,610000,30.610840,104.084735
47,48,四川众信国际旅行社有限公司,成都市锦江区东御街19号1栋28楼2801号，2807号,L-SC-CJ00085,286130898,61301856,610000,30.656743,104.070242
48,49,成都招商国际旅行社有限责任公司,成都市锦江区大业路6号1栋1单元6楼608号,L-SC-CJ00040,86665999,028-86662338,610000,30.665523,104.046870
49,50,四川竹园国际旅行社有限公司,成都市武侯区长华路19号3栋29层2913、2914号,L-SC-CJ100006,86210301,85577727,610000,30.674648,104.049253
50,51,成都嘉途国际旅行社有限公司,成都市金牛区西安南路69号1栋9楼33号,L-SC-CJ00107,86666932,028-85530883,610000,30.646147,104.089662
51,52,成都铁商旅行社有限公司,成都市金牛区三洞桥路19号7楼,L-SC-CJ00115,89898989-5,8625666-3060,610000,30.690240,104.073322
52,53,四川成都铁路国际商旅集团有限公司,成都市人民北路二段九号,L-SC-CJ00017,028-86430146,83393325,610000,30.652267,104.069668
53,54,美踪国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区益州大道中段888号1栋1407号,L-SC-CJ00106,2886717805,,610000,30.691185,104.045821
54,55,成都华夏国际旅行社有限公司,成都市金牛区高科技产业园蜀西路46号5栋6层2号,L-SC-CJ00100,028-87784980,87764980,610000,30.715827,103.991139
55,56,成都熊猫旅游集团国际旅行社有限公司,成都市金牛区金沙路169号1栋附16号,L-SC-CJ00018,85380366,无,610000,30.577815,104.060606
56,57,成都途风国际旅行社有限公司,成都高新区天府四街189号2栋10楼1号,L-SC-CJ00070,13558827223,85336297,610000,30.592374,104.073217
57,58,四川远海国际旅行社股份有限公司,中国（四川）自由贸易试验区成都市高新区萃华路89号1栋1单元26层2601号,L-SC-CJ00082,2861326692,028-85218688,610000,30.552591,104.066854
58,59,四川宝中国际旅行社有限公司,成都市高新区天府二街138号5栋1层108号,L-SC-CJ100008,028-66018801,66018887,610000,30.549162,104.066049
59,60,成都华程国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区天府四街158号2栋1单元20楼2009号,L-SC-CJ00099,028-61504678,028-85541221,610000,30.584106,104.061130
60,61,成都华美国际旅行社有限公司,成都高新区益州大道中段555号1幢1单元18层01号,L-SC-CJ00086,028-85065166,83117235,610000,30.571085,104.061840
61,62,成都市神州国际旅行社有限公司,成都市高新区天府大道北段1700号9栋1单元9楼920号,L-SC-CJ00014,028-85155962,85138583,610000,30.621251,104.053406
62,63,成都喜之悦假期国际旅行社有限公司,成都市高新区交子大道88号中航国际广场B栋1408,L-SC-CJ00080,028-6183333,66014866,610000,30.577815,104.060606
63,64,四川星宇国际旅行社有限公司,成都市高新区芳草街28号,L-SC-CJ00101,85190858,028-66127761,610000,30.542869,104.047743
64,65,成都奥特斯旅游开发有限公司,成都高新区九兴大道14号4号楼9层903号,L-SC-CJ100015,028-68730912,68730912,610000,30.626544,104.039408
65,66,成都一路通国际旅行社有限公司,四川省成都市高新区高朋大道2号,L-SC-CJ100010,84356928,,610000,30.623444,104.035792
66,67,成都非常假期国际旅行社有限公司,成都高新区科园二路10号3栋2单元17层2号,L-SC-CJ00116,028-85586546,85586493,610000,30.601202,104.069250
67,68,四川商旅国际旅行社有限公司,成都市高新区天仁路387号大鼎世纪广场3幢1单元2701号,L-SC-CJ00055,028-86672056,028-86719559,610000,30.972224,103.640847
68,69,成都市都江堰国际旅行社有限责任公司,四川省成都市都江堰市永丰街道办民丰社区彩虹路689号,L-SC-CJ00110,61738755,61941698,610000,30.625379,104.037623
69,70,成都远东国际旅行社有限公司,成都市成华区玉双路2号玉双大楼F座4层2号,L-SC-CJ00033,2884442111,028-84441935,610000,30.658404,104.092597
70,71,成都天娇国际旅行社有限责任公司,成都市成华区天祥街59号,L-SC-CJ00073,86730359,68822860,610000,30.654657,104.097134
71,72,四川东走西走国际旅行社有限公司,成都市成华区崔家店路52号8幢13层1305号,L-SC-CJ00112,028-85024888;,65023115,610000,30.661013,104.129979
72,73,成都新闻国际旅行社有限公司,四川省成都市成华区建设南支路4号“东郊记忆”园区19栋1层附2号,L-SC-CJ00029,028-86530560,028-86531022,610000,30.668697,104.122906
73,74,四川悦程国际文化旅游有限公司,中国（四川）自由贸易试验区川南临港片区龙马大道三段3号1幢16号,L-SC-CJ00075,13330784446,0830-2587305,646000,28.910446,105.418909
74,75,绵阳沪春秋旅行社有限公司,四川省绵阳市涪城区公园路2号瀚威城市中心1栋1单元33层10号（住）,L-SC-CJ00104,13881183598,0816-2225269,621000,31.417574,104.761109
75,76,四川绵阳机场国际旅行社有限责任公司,四川省绵阳市经开区机场东路6号,L-SC-CJ00096,13659022251,0816-6333050,621000,31.459971,104.751184
76,77,绵阳市绵州国际旅行社有限公司,绵阳市临园路东段68号富临.大都会一期B区7-2-6-1、2、7、8号,L-SC-CJ00091,0816-2220555,0816-2222538,621000,31.464047,104.745029
77,78,四川中盛国际旅行社有限公司,绵阳市涪城区安昌路17号4栋7层2#号（住）,L-SC-CJ00074,0816-2345766,0816-2310318,621000,31.459009,104.748038
78,79,广元康辉国际旅行社有限责任公司,广元市苴国路恒星城二期二楼10号,L-SC-CJ00072,3312908,,628000,32.425915,105.858113
79,80,自贡印象国际旅行社有限公司,四川省自贡市南湖生态城A-13地块瑞和盛景18栋1-2-1号（限于行政办公和通讯联络）,L-SC-CJ00079,13990000356,0813-2201515,643000,30.121324,104.646488
80,81,自贡春秋国际旅行社有限公司,自贡市汇东新区丹桂大街新汇广场三层2号,L-SC-CJ00093,0831-8218918,0813-8218902,643000,28.769102,104.625170
81,82,四川大观国际旅行社有限责任公司,四川省资阳市雁江区上西后街119号,L-SC-CJ00037,028-26220111,028-26229975,641300,29.318767,104.764785
82,83,宜宾金色国际旅行社有限责任公司,宜宾市小碑巷47号,L-SC-CJ00056,13990966222,0831-8236649,644000,31.579080,105.980554
83,84,阆中市阆苑国际旅行社有限公司,阆中市保宁办事处北街231号,L-SC-CJ00119,0817-6552288,,637000,31.128606,104.385817
84,85,四川省丽港商务服务有限责任公司,南充市顺庆区滨江大道东侧（南充港内）,L-SC-CJ00122,18080330570,,637000,30.773727,106.088994
85,86,德阳九洲国际旅行社有限公司,四川省德阳市区长江西路钟山街一号,L-SC-CJ00034,2208828,,618000,31.443281,104.716605
86,87,四川长虹国际旅行社有限责任公司,绵阳高新区长虹国际酒店大堂4号商场,L-SC-CJ00045,13778100688,0816-2410579,621000,31.463829,104.749028
87,88,四川绵阳假日国际旅行社有限公司,绵阳市临园路东段58号,L-SC-CJ00019,2360302,0816-2246246,621000,30.589805,104.066704
88,89,四川远大国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区天府大道北段28号1幢1单元23层2305号,L-SC-CJ00081,028-65777125,028-38737988,610000,28.890292,105.424860
89,90,四川泸州泸酒国际旅行社有限责任公司,泸州市龙马潭区南光路21号39幢16号（自主申报）,L-SC-CJ00057,830888565618982000000,0830-3195657,646000,29.343115,104.777727
90,91,泸州巴士国际旅行社有限公司,泸州市龙马潭区蜀泸大道１号楼1楼,L-SC-CJ00076,13808288193,0830-2589063,646000,28.895241,105.431520
91,92,四川美丽阳光国际旅行社有限责任公司,西昌市胜利南路光彩.城市风景2楼,L-SC-CJ00083,0834-3227666,3223566,615000,27.883366,102.252859
92,93,四川峨眉山风景国际旅行社有限责任公司,峨眉山市绥山镇云海南路130-132号,L-SC-CJ00016,5554044,0833-5554044,614000,32.427444,105.826075
93,94,广元市旅游集团运输有限公司,广元市蜀门南路55号,L-SC-CJ00046,0839-3244368,,628000,29.593228,103.496730
94,95,四川金鼎国际旅行社有限公司,四川省广安市广安区建安南路86号,L-SC-CJ00050,2397888,,638500,30.450807,106.627808
95,96,四川省金山旅行社有限责任公司,四川省广安市广安区金安大道一段169号中天国际2幢1单元808号,L-SC-CJ00047,13982678797,,638500,30.584822,104.060807
96,97,四川走遍全球国际旅游有限公司,成都高新区锦晖西一街99号1栋2单元20层2007号,L-SC-CJ00111,69417638,66853057,610000,30.625282,104.029842
97,98,四川鼎龙国际旅行社有限公司,成都市武侯区长益路13号1栋3单元701,L-SC-CJ00028,028-85108100,028-85108835,610000,30.457877,106.634019
98,99,成都天府国际旅行社集团有限责任公司,成都市武侯区临江路57号,L-SC-CJ00013,028-85433667,85435855,610000,30.644371,104.072184
99,100,四川省中国旅行社,成都市一环路南三段15号,L-SC-CJ00012,028-85562986,028-85562990,610000,30.411034,103.814445
100,101,成都海外旅游有限责任公司,成都市武侯区高升桥东路6号罗马假日广场A4W7,L-SC-CJ00011,028-85109098,028-85108959,610000,30.652305,104.020108
101,102,成都光大国际旅行社有限责任公司,成都市武侯区龙腾东路2号杜甫花园商务楼3楼,L-SC-CJ00008,028-66050909,66050898,610000,30.637519,104.042448
102,103,四川美丽华国际旅行社有限公司,成都市金牛区实业街59号新世界商务楼四楼,L-SC-CJ00026,028-87763339,028-87786512,610000,30.667938,104.049449
103,104,四川乐游假期国际旅行社有限公司,成都市青羊区顺城大街308号1栋21层2111号,L-SC-CJ00092,028-86703096,,610000,30.670146,104.072515
104,105,成都中国旅行社有限公司,成都市青羊区文武路42号,L-SC-CJ00044,86143809,86139982,610000,30.668577,104.071286
105,106,成都环球国际旅行社有限公司,成都市青羊区顺城街252号顺吉大厦8楼A2,L-SC-CJ00031,028-8678877,028-86780068,610000,30.664060,104.071394
106,107,成都安怡国际旅行社有限公司,成都市锦江区华兴正街5号2栋18层5号,L-SC-CJ00054,82644714,,610000,30.658975,104.080378
107,108,国旅（四川）国际旅行社有限公司,成都市锦江区大业路39号9层,L-SC-CJ00048,86650560,028-86666008,610000,30.698891,104.045343
108,109,四川全球通国际旅行社股份公司,成都市金牛区花牌坊街168号1幢1单元12层1207号,L-SC-CJ00038,028-86756669,86114455,610000,30.653755,104.069392
109,110,四川康辉国际旅行社有限公司,四川省成都市锦江区天仙桥北路1号3楼1号,L-SC-CJ00010,2886677750,028-86728130,610000,30.649989,104.085259
110,111,四川省中国青年旅行社有限公司,成都市武侯区火车南站西路18号一栋一单元9、10、11层,L-SC-CJ00003,86716589,028-86718489,610000,30.609331,104.059919
111,112,成都中国青年旅行社有限公司,中国（四川）自由贸易试验区成都市高新区万象南路399号西部旅游运营中心,L-SC-CJ00002,85532915,028-85583854,610000,30.609452,104.053058
112,113,四川省中国国际旅行社有限责任公司,成都市武侯区火车南站西路18号一栋一单元6、7层,L-SC-CJ00077,028-86677345,028-86663794,610000,32.777367,103.619934
113,114,阿坝州西部青年旅行社有限责任公司,松潘县川主寺镇教育宾馆内,L-SC-CJ00121,028-61316158,,624000,30.596109,104.038291
114,115,九寨沟网络国际旅行社有限责任公司,九寨沟县漳扎镇,L-SC-CJ00005,2887028548,,624000,33.295477,103.861237
115,116,四川华势国际旅行社有限公司,成都市锦江区东华正街42号四川广电国际大厦21F,L-SC-CJ00064,61100716,028-61100716,610000,30.548982,104.045511
116,117,成都走之旅行文化旅游有限公司,中国（四川）自由贸易试验区成都高新区剑南大道中段1098号1栋17楼1703号,L-SC-100319,2862977948,2862977948,610000,30.506223,105.575313
117,118,遂宁遂心国际旅行社有限责任公司,四川省遂宁市船山区育才西路45号,L-SC-100308,0825-2222123,0825-2222123,629000,30.547554,104.065220
118,119,成都跃玩国际旅行社有限责任公司,中国（四川）自由贸易试验区成都高新区吉泰路666号1栋7层4号,L-SC-100318,2883377687,2883377687,610000,30.619276,104.115625
119,120,四川省昱鸿国际旅行社有限公司,四川省成都市锦江区静沙南路18号2栋24层2406号,L-SC-100317,028-83125603,028-83125603,610000,30.972395,103.609022
120,121,都江堰市都青国际旅行社有限公司,四川省成都市都江堰市幸福街道幸福社区新马路172-178号,L-SC-100316,028-87111488,028-87299977,610000,30.644010,104.136636
121,122,四川逍遥熊旅游服务有限公司,四川省成都市成华区建材路37号1栋12楼1203号,L-SC-100315,2886530535,2886530535,610000,30.991005,103.629414
122,123,四川中青乐游国际旅行社有限公司,四川省成都市都江堰市玉堂街道玉府街215号15栋附14号,L-SC-100314,13717783112,028-87271589,610000,30.660347,104.070348
123,124,四川遇禾旅游有限公司,四川省遂宁市大英县蓬莱镇草西街98号1楼商业,L-SC-100307,7836673,7881678,629000,30.592842,105.244564
124,125,成都侣途文化旅游开发有限公司,四川省成都市天府新区华阳华府大道一段1号2栋2单元13层12号,L-SC-100311,19130611716,13518104279,610000,30.525840,104.067504
125,126,泸州山水文化旅游发展有限公司,四川省泸州市纳溪区东升街道蓝安路三段19号2号楼,L-SC-100310,13198426600,18181161618,646000,30.606893,103.978823
126,127,四川老来少户外拓展有限公司,泸州市江阳区康平路3号3号楼负1层10号,L-SC-100309,8302525225,8302525225,646000,31.854990,106.775488
127,128,四川省启程未来智慧研学旅行服务有限公司,四川省巴中市巴州区江北大道东段巴中财富广场A区3栋6楼3号,L-SC-100306,0827-7762193,0827-7762193,636000,30.681306,104.136792
128,129,四川名途国际旅行社有限公司,四川省成都市武侯区七里路499号3栋1单元7层3号,L-SC-100305,2860190037,2860190037,610000,30.713457,103.999612
129,130,四川院坝文化旅游发展有限责任公司,四川省成都市成华区下涧槽路275号,L-SC-100303,028-60889998,028-60229998,610000,30.684865,104.028949
130,131,四川省友约同行国际旅行社有限责任公司,四川省成都金牛高新技术产业园区兴盛西路2号4栋9层1号,L-SC-100304,2887513930,2887512360,610000,30.781544,103.861648
131,132,四川省趣弗里国际旅行社有限公司,成都市金牛区蜀通街98号24幢1层9号,L-SC-100302,13568961389,13568961389,610000,32.100362,106.668626
132,133,四川省在线旅游发展有限公司,四川省成都市郫都区德源镇（菁蓉镇）大禹东路66号3栋8楼810房,L-SC-100301,028-85030700,028-85030700,610000,27.878263,102.225165
133,134,南江县红鱼湖文化旅游发展有限公司,四川省巴中市南江县长赤镇玉湖社区28号,L-SC-100300,8278186686,8278186686,636000,29.344099,105.312280
134,135,四川趣游旅行社有限公司,四川省凉山彝族自治州西昌市长安街道办事处长安社区第四居民小组111号,L-SC-100298,0834-2687789,0834-2687789,615000,28.822451,105.406182
135,136,隆昌市隆韵农业有限责任公司,隆昌市金鹅街道重庆路368号（隆昌市双创示范园1号楼二楼）,L-SC-100299,0832-3964665,3964665,641000,28.878700,105.437487
136,137,峨眉山高速国际旅行社有限公司,四川省乐山市峨眉山市胜利街道名山东路412号2幢,L-SC-100297,0833-5556666,0833-5558999,614000,31.862929,106.752020
137,138,凉山乐游旅行社有限责任公司,四川省凉山彝族自治州西昌市周堡中路3号中国西昌数字经济产业园3栋第13层1343号,L-SC-100294,13508200867,0834-855557,615000,27.926677,102.209143
138,139,巴中好同学研学旅行服务有限公司,四川省巴中市巴州区望王路乡企局综合楼7号,L-SC-100296,0827-3366213,0827-5599666,636000,29.595357,103.498300
139,140,四川研蜀旅游有限公司,四川省乐山高新区临江东路509号1幢4楼2号,L-SC-100295,0833-2306555,0833-2306555,614000,29.543653,103.738035
140,141,成都凯尚思蜀旅行社有限公司,成都市青羊区浣花南路67号8栋3单元2楼1号,L-SC-100291,18687234530,无,610000,30.657860,104.033081
141,142,成都玩咖行国际旅行社有限责任公司,四川省成都市金牛区西安南路69号1幢3层13号-18号,L-SC-100293,87436711,87436711,610000,30.666121,104.047243
142,143,成都川蓉行国际旅行社有限责任公司,四川省成都市金牛区西安南路69号1栋7层16号、18号,L-SC-100292,87346711,87436711,610000,30.666121,104.047243
143,144,四川曙光国际旅行社有限公司,成都市青羊区光华北三路98号16栋15层1503号,L-SC-100289,2881709826,2881709826,610000,30.713312,104.040842
144,145,成都逸趣游国际旅行社有限公司,四川省成都市金牛区金府路666号1栋25层2526号,L-SC-100290,2884738612,2884738612,610000,30.664011,104.070053
145,146,四川优旅国际旅行社有限公司,成都市青羊区顺城大街269号1栋1单元9楼13号,L-SC-100288,2883233051,2883233051,610000,30.649540,104.083280
146,147,成都智旅天下国际旅行社有限公司,四川省成都市锦江区东大街下东大街段216号1栋34层3号,L-SC-100287,(028)88458999,(028)88459000,610000,30.551847,104.066631
147,148,四川众欣乐乐旅行社有限公司,中国（四川）自由贸易试验区成都高新区天府二街269号27幢24层2401号,L-SC-100286,028-65200001,028-65200001,610000,28.912185,105.438530
148,149,四川最美酒城旅行社有限公司,四川省泸州市龙马潭区莲花池街道龙马大道三段602号1号楼2层201,L-SC-100285,0830-5477713,0830-5477713,646000,29.347349,105.288342
149,150,四川巴布国际旅行社有限公司,四川省内江市隆昌市古湖街道人民中路一段166号,L-SC-100284,8323966988,8323966988,641000,30.643653,104.167740
150,151,成都华营旅行社有限公司,四川省成都市龙泉驿区十陵街道金桂路600号6栋1层1号,L-SC-100283,18011407798,2864841848,610000,28.882567,105.410034
151,152,四川宜宾长锋旅游发展有限公司,四川省宜宾市翠屏区北操场2幢4层,L-SC-100281,8318214588,8318245298,644000,30.670138,103.963643
152,153,泸州山那边旅行社有限公司,四川省泸州市江阳区春景中路62号（自主申报）,L-SC-100282,3113212,无,646000,30.581610,104.061099
153,154,拾愿大行（成都）文化旅游发展有限公司,中国（四川）自由贸易试验区成都高新区益州大道北段333号1栋13层1307号,L-SC-100280,028-84177742,028-84177742,610000,28.454222,104.712353
154,155,珙县珙桐教育咨询服务有限公司,四川省宜宾市珙县巡场镇文鑫路65号1单元5楼1号,L-SC-100275,8790199,8790199,644000,28.769227,104.619333
155,156,四川星趣文化旅游有限公司,四川省眉山市东坡区诗书路中一段230号,L-SC-100279,028-38025533,028-38025533,620000,30.056169,103.841625
156,157,四川元冠领国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区蜀锦路88号1栋2单元31层4号,L-SC-100276,028-86948758,028-86948758,610000,30.576877,104.060407
157,158,四川时光旅程国际旅行社有限公司,四川省成都市金牛区蜀汉路3号3栋3层316号,L-SC-100277,2887769026,2887769026,610000,30.691082,104.015690
158,159,宜宾朋友圈旅游有限公司,四川省宜宾市叙州区南岸长江大道东段54号附2-4号,L-SC-100272,8313871828,8313871828,644000,29.604905,103.497846
159,160,景辉国际旅行社有限公司,宜宾市南溪区罗龙街道北滨路康安.江城9栋1层8号,L-SC-100269,8312085193,8312085189,644000,32.349929,106.834487
160,161,峨眉山传承旅游文化发展有限公司,四川省乐山市峨眉山市绥山镇景秀二街60号,L-SC-100274,0833-5566633,0833-5566633,614000,28.820191,104.960921
161,162,四川裕和旅游有限责任公司,四川省巴中市南江县集州街道朝阳中段金兰阁7楼1号,L-SC-100273,8273220578,8273220578,636000,29.609903,105.057230
162,163,四川天涯休闲健身有限公司,内江市东兴区大千路838号,L-SC-100271,8322220666,8322274886,641000,30.042337,103.832122
163,164,眉山东坡宋城文化旅游发展有限公司,眉山市东坡区下大南街24-58号1-2层,L-SC-100270,028-38669867,028-38233978,620000,29.590145,105.019549
164,165,德阳星之旅旅行社有限公司,四川省德阳市罗江区金雁南路1幢13#、14#,L-SC-100266,0838-3207887,0838—3500808,618000,30.655485,104.120387
165,166,四川坤和岳国际旅行社有限公司,四川省内江市市中区甜城大道999号内江商贸城建材馆二楼A3-051号,L-SC-100268,13890580589,8328367070,641000,31.304572,104.511323
166,167,四川瀛台萃旅行社有限公司,四川省成都市成华区万年路24号2栋1层4-102(自编号),L-SC-100267,81753690,81753690,610000,28.762748,104.646101
167,168,四川精耕勤作文化旅游发展有限公司,四川省绵阳市江油市江油市城区太白中路金鹏现代城1栋4楼2号,L-SC-100265,0816-3951275,0816-3951275,621000,31.885057,104.777212
168,169,巴中市巴旅旅行社有限公司,四川省巴中市巴州区江北大道中段86号,L-SC-100264,0827-6115888,0827-6115888,636000,31.859243,106.751573
169,170,宜宾蔚然国际旅行社有限公司,四川省宜宾市长宁县长宁镇洪谟路223号,L-SC-100262,8314624111,8314624119,644000,28.583049,104.918154
170,171,四川研创教育管理集团有限公司,四川省资阳市雁江区娇子大道二段378号四层,L-SC-100253,028-26210303,028-26210303,641300,30.739075,106.048198
171,172,南充悦航旅行社有限公司,四川省南充市嘉陵区都尉路四段288号南湖凯旋广场22号楼1层22号,L-SC-100250,0817-2256985,0817-2256985,637000,30.126017,104.620442
172,173,四川天聚旅投国际旅行社有限公司,四川省南充市顺庆区双塔街13号绿地中心1号楼8区16楼21号,L-SC-100258,8172249099,8172249099,637000,30.853067,106.072247
173,174,泸州虎贲教育服务有限公司,泸州市江阳区林海中路1号（自主申报）,L-SC-100263,8302528028,8302528028,646000,28.877876,105.475149
